index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,wait_time
5060,Rosewood Erie Glen,retirement home,Nursing and residential care facilities,Province of Ontario,,119,robson road,N8H 3V4,leamington,on,,Leamington,3537003,35,42.02625934,-82.59111505,83
5367,Southgate Village,retirement home,Nursing and residential care facilities,Province of Ontario,,38,park street,N9Y 1N4,kingsville,on,,Kingsville,3537013,35,42.02834304,-82.73923269,84
3804,Harrowood Seniors Community,retirement home,Nursing and residential care facilities,Province of Ontario,,1,pollard drive,N0R 1G0,essex,on,,Essex,3537016,35,42.02966893,-82.92051825,52
3590,Franklin Gardens Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,24,franklin road,N8H 4B7,leamington,on,,Leamington,3537003,35,42.03083044,-82.59816325,30
3803,Harrow Health Centre Inc. Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,1480,erie road s,N0R 1G0,essex,on,,Essex,3537016,35,42.03085103,-82.92295145,77
5159,Seacliff Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,30,seacliff drive e,N8H 0E5,leamington,on,,Leamington,3537003,35,42.03374554,-82.59725745,159
3027,Chartwell Leamington Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1,henry avenue,N8H 5P1,leamington,on,,Leamington,3537003,35,42.03829014,-82.60343625,243
3023,Chartwell Kingsville Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,240,main street e,N9Y 1A6,kingsville,on,,Kingsville,3537013,35,42.03955604,-82.72822769,102
2581,Augustine Villas Retirement Home and Assisted Living,retirement home,Nursing and residential care facilities,Province of Ontario,,54,spruce street n,N9Y 2E5,kingsville,on,,Kingsville,3537013,35,42.03996314,-82.73671029,133
4171,Leamington Mennonite Home,community support service,Nursing and residential care facilities,Province of Ontario,,35,pickwick drive,N8H 4X5,leamington,on,,Leamington,3537003,35,42.04374165,-82.59059485,211
4170,Leamington District Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,194,talbot st w,N8H 1N9,leamington,on,194 talbot st. w. leamington on n8h 1n9,Leamington,3537003,35,42.048309,-82.614776,103
3087,Chartwell Royal Oak Long Term Care Residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1750,division road n,N9Y 4G7,kingsville,on,,Kingsville,3537013,35,42.0501946,-82.7375796,138
4168,Leamington and Area Fht,family health team - contract,Ambulatory health care services,Province of Ontario,,197,talbot street w,N8H 1N8,leamington,on,,Leamington,3537003,35,42.05048285,-82.61517146,297
4467,New Beginnings Rest Home,retirement home,Nursing and residential care facilities,Province of Ontario,,106,talbot street w,N8H 1M9,leamington,on,,Leamington,3537003,35,42.05143065,-82.60541785,203
2761,Caldwell First Nation (Css),community support service,Ambulatory health care services,Province of Ontario,,14,orange street,N8H 1P5,leamington,on,,Leamington,3537003,35,42.05267205,-82.59754225,27
5506,Sun Parlor Home for Senior Citizens,long-term care home,Nursing and residential care facilities,Province of Ontario,,175,talbot street e,N8H 1L9,leamington,on,,Leamington,3537003,35,42.05585245,-82.58946575,236
5325,South Essex Community Council Incorporated,community support service,Ambulatory health care services,Province of Ontario,,215,talbot street e,N8H 3X5,leamington,on,,Leamington,3537003,35,42.05812245,-82.58577985,85
5163,Seasons Amherstburg,retirement home,Nursing and residential care facilities,Province of Ontario,,681,front road s,N9V 0B4,amherstburg,on,,Amherstburg,3537028,35,42.08716293,-83.10768001,158
2511,Amherstburg Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,721,front road s,N9V 2M4,amherstburg,on,,Amherstburg,3537028,35,42.08735643,-83.10897921,265
5642,the Meadows of Wheatley Ltd.,retirement home,Nursing and residential care facilities,Province of Ontario,,21205,pier road,N0P 2P0,chatham-kent,on,,Chatham-Kent,3536020,35,42.08854906,-82.46064041,234
5893,Victoria Street Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,184,victoria street s,N9V 2K5,amherstburg,on,,Amherstburg,3537028,35,42.10341913,-83.10109981,288
5014,Richmond Terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,89,rankin avenue,N9V 1E7,amherstburg,on,,Amherstburg,3537028,35,42.10422443,-83.11025501,164
2510,Amherstburg Community Services,community support service,Ambulatory health care services,Province of Ontario,,179,victoria street s,N9V 4K5,amherstburg,on,,Amherstburg,3537028,35,42.10448713,-83.10021441,217
3271,Corporation of the County of Essex - Victoria Street Manor/Sun Parlor Home,community support service,Ambulatory health care services,Province of Ontario,,360,fairview avenue w,N8M 1Y6,essex,on,,Essex,3537016,35,42.16099956,-82.82474203,71
